source,content,price,product_type,vendor
am-sbq01-forearm-strength-trainer,"Product Name: AM-SBQ01 Forearm Strength trainer
Description: const externalURL = ""https://ota-shawn.github.io/Products/Others/AM-SBQ01%20Forearm%20Strength%20trainer.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $89.99 | Availability: 998 in stock",89.99,Portable Massager,AmaMedic
am10027-back-massage-pad,"Product Name: AM10027 Back Massage Pad
Description: SOOTHING HEAT 3 MASSAGE MODES INTENSITY CONTROL 15 MINUTE TIMER BOOSTS BLOOD CIRCULATION ENHANCE HAND MOBILITY --> const externalURL = ""https://ota-shawn.github.io/Products/Others/AM10027%20Back%20Massage%20Pad.html"" <!-- <link href=""https://ota-shawn.github.io/productGlobalCss/style.css"" rel=""stylesheet"" /> --> $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $99.99 | Availability: 1000 in stock",99.99,Portable Massager,AmaMedic
am8017-hand-massager,"Product Name: AM8017 Hand Massager
Description: SOOTHING HEAT 3 MASSAGE MODES INTENSITY CONTROL 15 MINUTE TIMER BOOSTS BLOOD CIRCULATION ENHANCE HAND MOBILITY const externalURL = ""https://ota-shawn.github.io/Products/Others/AM8017%20Hand%20Massager.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $99.99 | Availability: 999 in stock",99.99,Portable Massager,AmaMedic
amamedic-3d-integra,"Product Name: AmaMedic 3D Integra
Description: 3D Massage Mechanism Intelligent Voice Control Heart Rate Monitor Computerized Body Scanning SL-Track 28 Air Cell Full Body Compression 3 Stage Zero Gravity Space Saving Technology Lumbar Heat Therapy 21 Auto Programs with 6 Massage Styles Calf Kneading Surround Sound Bluetooth Speakers USB Charger &amp; Remote Holder const externalURL = ""https://RobinChoi00.github.io/Product/ReIntegra/ReIntegra.html?v=2.0""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); // HTML 로드 후 JS 삽입 const script = document.createElement(""script""); script.src = ""https://RobinChoi00.github.io/Product/ReIntegra/ReIntegra_script.js""; script.defer = true; document.body.appendChild(script); });
[Available Options & Prices]
- [Color: Black / Delivery: Curbside Delivery - Free / Warranty: 1 Year (Parts/Labor) 2&3 Year (Parts Only) - Free] => Total Price: $1899.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $2148.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2248.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2174.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $2423.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2523.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $1899.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $2148.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2248.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2174.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $2423.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2523.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $1899.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $2148.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2248.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2174.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $2423.95 | Availability: Out of Stock
- [Standard Option] => Total Price: $2523.95 | Availability: Out of Stock",1899.0,Massage Chair,AmaMedic
amamedic-am-8503-gua-sha-scraping-massager,"Product Name: AmaMedic AM-8503 Gua Sha Scraping Massager
Description: const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/AM-8503%20Gua%20Sha%20Scraping%20Massager.html""; AmaMedic AM-8503 Gua Sha Scraping massager
[Available Options & Prices]
- [Title: Default Title] => Total Price: $49.99 | Availability: 1000 in stock",49.99,Portable Massager,AmaMedic
amamedic-astoria,"Product Name: AmaMedic Astoria
Description: Intelligent Voice command Zero Gravity Reclining SL-Track 3D Massage Mechanism 18 Auto Massage Programs 7 Manual Massage Programs 36-Cell Full Body Air Massage Automatic Body Scan Space Saving Technology Calf &amp; Foot Heating const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/Astoria.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Black / Delivery: Curbside Delivery - Free / Warranty: 1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free] => Total Price: $1999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2274.0 | Availability: 999 in stock
- [Standard Option] => Total Price: $2523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $1999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $1999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2274.0 | Availability: 999 in stock
- [Standard Option] => Total Price: $2523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2623.95 | Availability: 1000 in stock",1999.0,Massage Chair,AmaMedic
amamedic-gs-b1-seat-cushion,"Product Name: AmaMedic GS-B1 Seat Cushion
Description: Innovative Gel-layer Breathable Mesh Cover Non-slip Bottom Ideal for Use const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/GS-B1%20Seat%20Cushion.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); });
[Available Options & Prices]
- [Color: GS-B1 Black] => Total Price: $79.99 | Availability: 1000 in stock",79.99,Accessory,AmaMedic
amamedic-haven,"Product Name: AmaMedic Haven
Description: AI Health Technology Intelligent Voice Control 4D Massage Mechanism Body Scan Technology Zero Gravity Reclining Technology SL-Track System Space-Saving Technology 34-Cell Air Compression Massage Lumbar Heating Therapy 20 Auto Programs 5 Manual Modes Specialized Foot Rollers Spring-Loaded Extendable Footrest const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/Haven.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Brown / Delivery: Curbside Delivery - Free / Warranty: 1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free] => Total Price: $2999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $2999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3623.95 | Availability: 1000 in stock",2999.0,Massage Chair,AmaMedic
amamedic-hilux-4d,"Product Name: AmaMedic Hilux 4D
Description: 4D Massage Mechanism 8 Auto Programs Heated Back Roller SL-Track Full Body Compression Massage Adjustable Shoulder Width Convenient Shortcut Panel Touchscreen Control 2 Stage Zero Gravity Deep Calf &amp; Foot Kneading Automatic Extendable Footrest Surround Sound Bluetooth Speakers USB Charger &amp; Wireless Charger const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/Hilux.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); });
[Available Options & Prices]
- [Color: Black / Delivery: Curbside Delivery - Free / Warranty: 5 Year (3 Years Full Service & Additional 2 Years Parts)] => Total Price: $3299.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $3574.0 | Availability: Out of Stock
- [Standard Option] => Total Price: $3299.0 | Availability: 999 in stock
- [Standard Option] => Total Price: $3574.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3299.0 | Availability: 999 in stock
- [Standard Option] => Total Price: $3574.0 | Availability: 1000 in stock",3299.0,Massage Chair,AmaMedic
amamedic-neck-tens-massager,"Product Name: AmaMedic Neck Tens Massager
Description: Heating Function 5 Massage Modes 15 Levels of Intensity Low Frequency modes Small, light and Comfort Easy to Charge Easy to Carry const externalURL = ""https://ota-shawn.github.io/Products/Others/AmaMedic%20Neck%20Tens.html"" <!-- <link href=""https://ota-shawn.github.io/productGlobalCss/style.css"" rel=""stylesheet"" /> --> $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $99.0 | Availability: 999 in stock",99.0,Portable Massager,AmaMedic
amamedic-otamic-massage-wave-gun-v,"Product Name: AmaMedic Otamic Massage Wave Gun V
Description: 4 Massage Heads Peaks at 3200 RPM 5 Levels of Power Intensity 3 Unique Massage Modes Non-Slip Hand Grip Design Easy Setting System Lightweight and Portable All-in-One Package const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/Massage%20Wave%20Gun%20V.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); });
[Available Options & Prices]
- [Warranty: 2 Years (Replacement) Free] => Total Price: $199.0 | Availability: 1000 in stock",199.0,Portable Massager,AmaMedic
amamedic-revive,"Product Name: AmaMedic Revive
Description: Health Fingerprint sensor AI Health Detection Intelligent Voice Control SL-style Track 20 Cell Full Body Air Massage 4D Massage Mechanism Touchscreen Controller 11 Manual Massage Modes 20 Auto Massage Modes Zero Gravity and Space Saving Deep Calf Kneading Specialized Foot Rollers Heat Shawl Lumbar Therapy Automatic Extendable Footrest Custom LED Setup Wireless Charging and USB Port Bluetooth Sound Speakers Accessible Shortcut Panel const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/Revive.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Brown / Delivery: Curbside - Free / Warranty: 5 Year(3 Years Full Service & Additional 2 Years Parts)] => Total Price: $3499.0 | Availability: 998 in stock
- [Standard Option] => Total Price: $3774.0 | Availability: 9981 in stock
- [Standard Option] => Total Price: $3499.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3774.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3499.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3774.0 | Availability: 999 in stock",3499.0,Massage Chair,AmaMedic
amamedic-shiatsu-massaging-back-seat,"Product Name: AmaMedic Shiatsu Massaging Back Seat
Description: Real Shiatsu Kneading Massage Four Massage Heads Heat Therapy Seat Vibration const externalURL = ""https://ota-shawn.github.io/Products/Amamedic/Shiatsu%20Massaging%20Back%20Seat.html""; $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap(); });
[Available Options & Prices]
- [Title: Default Title] => Total Price: $129.99 | Availability: 1000 in stock",129.99,Portable Massager,AmaMedic
arcadia-3d-le,"Product Name: Arcadia 3D LE
Description: 3D Massage Mechanism Intelligent Health Detection Automatic Body Scan Space Saving Technology Zero Gravity Reclining SL-Track 9 Auto Massage Programs 5 Manual Massage Programs 44-Cell Full Body Air Massage Spring Loaded Extendable Footrest Lumbar and Feet Heating Therapy Quiet Massage const externalURL = ""https://ota-shawn.github.io/Products/Titan/Arcadia.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Black / Delivery: Curbside Delivery - Free / Warranty: 1 Year(Parts/Labor) 2&3 Year(Parts Only) - Free] => Total Price: $3999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4623.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $3999.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4248.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4348.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4274.0 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4523.95 | Availability: 1000 in stock
- [Standard Option] => Total Price: $4623.95 | Availability: 1000 in stock",3999.0,Massage Chair,Titan
atom-mini-massage-gun,"Product Name: Osaki ATOM Mini Massage Gun
Description: const externalURL = ""https://ota-shawn.github.io/Products/Others/ATOM%20mini%20massager%20gun.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Title: Default Title] => Total Price: $99.0 | Availability: 1000 in stock",99.0,Portable Massager,Osaki
back-pad,"Product Name: Back Pad
Description: const externalURL = ""https://ota-shawn.github.io/Products/Others/Back%20Pad.html"" $(""#externalURL"").load(externalURL, () => { $(""#externalURL"").contents().unwrap() })
[Available Options & Prices]
- [Color: Black] => Total Price: $59.99 | Availability: 98 in stock
- [Standard Option] => Total Price: $59.99 | Availability: Out of Stock
- [Standard Option] => Total Price: $59.99 | Availability: Out of Stock",59.99,Accessory,Titan Chair
